Business Name,Category,Address,City,State,Postal Code,Phone,Website,Rating,Review Count,Latitude,Longitude
NYC Smile Spa,Cosmetic dentist,"30 E 60th St Suite 1201, New York, NY 10022",New York,New York,10022,(646) 374-2242,https://www.nycsmilespa.com/,4.9,385,40.7637066,-73.970242
Dentist on Madison,Dentist,"274 Madison Ave Rm 202, New York, NY 10016",New York,New York,10016,(212) 227-4600,http://dentistonmadison.com/?utm_campaign=gmb,4.9,362,40.7514023,-73.980757
New York General Dentistry,Dental clinic,"133 E 58th St Ste 409, New York, NY 10022",New York,New York,10022,(212) 838-0842,https://newyorkgeneraldentistry.com/?utm_source=GMBlisting&utm_medium=organic,4.9,360,40.7619525,-73.9689326
Dental Smiles of West Loop - Chicago,Dentist,"1202 W Madison St, Chicago, IL 60607",Chicago,Illinois,60607,(312) 724-7161,https://dentalsmilesofwestloop.com/our-office-chicago-il/,4.9,348,41.8817924,-87.6573805
"Aesthetic Dentistry, P.C.",Dentist,"7010 Yellowtail Rd #100, Cheyenne, WY 82009",Cheyenne,Wyoming,82009,(307) 632-6597,https://aestheticdentistrypc.com/?utm_source=NEXT&utm_medium=Google,4.9,348,41.1817517,-104.8281578
Spring Creek Dental,Dentist,"2001 S Shields St Bldg C1, Fort Collins, CO 80526",Fort Collins,Colorado,80526,(970) 482-8883,https://mydentistfortcollins.com/,4.9,335,40.5609075,-105.0964871
City Dental Group NYC,Dentist,"11 Broadway Lobby 4, New York, NY 10004",New York,New York,10004,(212) 425-0505,https://citydentalnyc.com/?utm_source=gbp&utm_medium=organic&utm_campaign=gbp-listing,4.7,308,40.7053407,-74.0138576
25 East Dental,Dentist,"25 E Washington St Suite 1115, Chicago, IL 60602",Chicago,Illinois,60602,(312) 726-1899,https://www.25eastdental.com/?utm_source=generic&utm_medium=profiles&utm_campaign=local_profiles,4.9,288,41.8830478,-87.62682
My NYC Dentist - Hudson Street Dental,Dentist,"90 Vandam St, New York, NY 10013",New York,New York,10013,(212) 359-0064,https://www.mynyc-dentist.com/,4.9,263,40.7265687,-74.0081224
Dixie Dental | Sunset,Dentist,"2107 W Sunset Blvd # 101, St. George, UT 84770",St. George,Utah,84770,(435) 628-6644,https://dixiedentalcare.com/,4.9,246,37.1235911,-113.6281516
NYC Dental Center,Dentist,"216 E 39th St #1, New York, NY 10016",New York,New York,10016,(646) 861-3070,https://weence.com/dentists/new-york-1/nyc-dental-center/,4.4,241,40.7483698,-73.9752108
In The Loop Dental,Dentist,"111 N Wabash Ave STE 1107, Chicago, IL 60602",Chicago,Illinois,60602,(312) 609-1300,http://www.intheloopdentist.com/,4.9,237,41.88351,-87.62589
Dentist On The Park,Dental clinic,"8 S Michigan Ave #1306, Chicago, IL 60603",Chicago,Illinois,60603,(872) 888-9010,http://www.dentistonthepark.com/,5,227,41.88185,-87.6247626
Modern Dental of Manhattan,Dental implants provider,"425 Madison Ave Rm 500, New York, NY 10017",New York,New York,10017,(212) 758-1000,https://www.manhattandentists.com/,5,221,40.7569869,-73.975942
"Signature Smile Arts - Dentist in Downtown, Chicago",Dental implants provider,"845 N Michigan Ave #955W, Chicago, IL 60611",Chicago,Illinois,60611,(312) 654-1220,https://magmile.signaturesmilearts.com/?utm_source=googlemybusiness&utm_medium=organic&utm_campaign=GMB,5,211,41.8981967,-87.6232271
Draper Parkway Dental,Dentist,"946 East Draper Pkwy, Draper, UT 84020",Draper,Utah,84020,(801) 252-4439,https://www.draperfamilydentist.com/?utm_source=GMB&utm_medium=organic&utm_campaign=DevOptimization&utm_content=Website,5,197,40.5267169,-111.864809
Soho Smile - Cosmetic Dentist NYC,Cosmetic dentist,"206 Spring St 5th Floor, New York, NY 10012",New York,New York,10012,(212) 334-7330,https://www.sohosmile.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb,5,197,40.7252587,-74.0037653
Flatiron Family Dental,Dental clinic,"34 W 17th St Ground Floor, New York, NY 10011",New York,New York,10011,(212) 510-7303,http://www.flatironfamilydental.com/,4.9,161,40.7385098,-73.9940906
Bountiful Dentistry,Dentist,"625 500 S STE 201, Bountiful, UT 84010",Bountiful,Utah,84010,(801) 292-0443,http://www.bountifuldentistry.com/,4.9,134,40.8846701,-111.8685362
"Prabha Krishnan, DDS, PC",Periodontist,"110-45 Queens Boulevard Suite #108, Forest Hills, New York 11375",,,,(718) 268-5777,,4.5,110,40.719715,-73.838763
Canyon Dental Care,Dentist,"291 S Main St Suite C, Smithfield, UT 84335",Smithfield,Utah,84335,(435) 563-2553,http://www.canyondentalcare.com/,5,93,41.8306276,-111.8328288
Vitality Dental,Dentist,"1401 Airport Pkwy suite 130, Cheyenne, WY 82001",Cheyenne,Wyoming,82001,(307) 459-1073,https://www.vitalitydentalwy.com/,5,81,41.1516725,-104.8048947
Snowmass Village Dental,Dentist,"25 Lower Woodbridge Rd, Snowmass Village, CO 81615",Snowmass Village,Colorado,81615,(970) 923-5777,http://www.snowmassvillagedental.com/,4.7,76,39.2116853,-106.9427205
"The Chicago Dental Studio, Lakeview",Dentist,"3211 N Clark St, Chicago, IL 60657",Chicago,Illinois,60657,(312) 481-6544,https://thechicagodentalstudio.com/location-chicago-lakeview/,4.9,72,41.9405891,-87.6507258
Chicago Dental Solutions @ Chicago Dental Design,Prosthodontist,"845 N Michigan Ave #945w, Chicago, IL 60611",Chicago,Illinois,60611,(312) 649-5980,https://chicagodentalsolutions.com/?utm_source=organic&utm_medium=gbp&utm_id=local,4.9,54,41.8980056,-87.6232355
1800 Emergency Dentist 24 Hour,Emergency dental service,"111 N Wabash Ave, 1st Floor, Ste, #66EW, Chicago, IL 60602",Chicago,IL,60602,(773) 302-8782,https://1800dentist.com/dentist-chicago-520625/,4.7,31,41.883567,-87.6259822
