Business Name,Category,Address,City,State,Postal Code,Phone,Website,Rating,Review Count,Latitude,Longitude
Hugo Plumbing,Plumber,"7038 Cotton Dr, Houston, TX 77092",Houston,Texas,77092,(713) 409-7176,https://www.hugoplumbingtx.com/,4.9,503,29.8365319,-95.496918
Red Lilly Plumbing,Plumber,"1647 Beverly Blvd, Los Angeles, CA 90026",Los Angeles,California,90026,(323) 319-4102,https://www.redlillyplumbing.com/,4.8,494,34.0642739,-118.2644279
"Monkey Wrench Plumbing, Heating, Air & Electric",Plumber,"4649 Beverly Blvd, Los Angeles, CA 90004",Los Angeles,California,90004,(323) 607-0494,http://www.monkeywrenchservices.com/?utm_source=google&utm_medium=organic&utm_campaign=GMBListing-Los-Angeles-CA,4.8,464,34.0766009,-118.310875
"Cathedral Plumbing of Texas, LLC",Plumber,"1451 Halsey Way, Carrollton, TX 75007",Carrollton,Texas,75007,(972) 446-2500,https://www.cathedralplumbingtx.com/?utm_source=google&utm_medium=gmb&utm_campaign=local,4.3,411,32.9871345,-96.9244867
John's Plumbing & Drain Services,Plumber,"3847 Brunswick Ave, Los Angeles, CA 90039",Los Angeles,California,90039,(323) 422-7485,https://johnsplumber.com/?utm_source=gmb&utm_medium=referral,4.9,383,34.122568,-118.2633217
All The Time Plumbing,Plumber,"13100 Wortham Center Dr, Houston, TX 77065",Houston,Texas,77065,(713) 705-3926,https://allthetimeplumbing.com/,4.8,326,29.9205893,-95.6154875
Empire Plumbing,Plumber,"1754 Bay Rd, Miami Beach, FL 33139",Miami Beach,Florida,33139,(305) 531-7017,http://www.empireplumbing.com/,4.6,292,25.793121,-80.143934
Luke's Plumbing & Air Conditioning,Plumber,"3548 E T C Jester Blvd, Houston, TX 77018",Houston,Texas,77018,(713) 766-4887,https://calllukes.com/?utm_source=google&utm_medium=gbp,4.8,275,29.8189452,-95.4409482
H-Town Plumbers,Plumber,"12145 Stone E Dr, Houston, TX 77035",Houston,Texas,77035,(832) 318-0390,http://www.htownplumbers.com/,4.9,267,29.6451291,-95.478799
"Plumbco Services, Inc.",Plumber,"4700 Mansfield Hwy, Forest Hill, TX 76119",Forest Hill,Texas,76119,(817) 561-9812,http://www.plumbcoservices.com/,4.8,264,32.6712905,-97.2550529
Fixxer Company Plumbing,Plumber,"1124 S Sam Houston Rd, Mesquite, TX 75149",Mesquite,Texas,75149,(214) 534-1468,https://www.fixxercompany.com/,4.8,254,32.7576503,-96.6410005
Miami 24/7 Plumbing - Miami Emergency Plumbers,Plumber,"1331 SW 32nd Ave #4, Miami, FL 33145",Miami,Florida,33145,(305) 440-0878,https://www.miami247plumbing.com/,4.8,230,25.7599811,-80.2466763
Main Plumbing Services,Plumber,,,,,(786) 269-3783,https://mainplumbingmiami.com/,4.9,230,25.5584269,-80.468195
Ritz Plumbing,Plumber,"1355 S La Brea Ave, Los Angeles, CA 90019",Los Angeles,California,90019,(323) 973-1585,http://ritzplumbing.com/?utm_campaign=gmb,3.5,222,34.0486403,-118.3448622
Houston Plumbing Services,Plumber,"7807 Long Point Rd #330, Houston, TX 77055",Houston,Texas,77055,(713) 231-3309,https://www.houstonplumbingservices.com/,4.9,215,29.802467,-95.4839255
After Hours Plumbing Service,Plumber,"10322 Lafferty Oaks St, Houston, TX 77013",Houston,Texas,77013,(832) 715-6441,http://www.afterhoursplumbingservicehouston.com/,4.8,187,29.7776307,-95.2459404
"Mike Diamond Plumbing, HVAC & Electrical",Plumber,"1900 N Cahuenga Blvd, Los Angeles, CA 90068",Los Angeles,California,90068,(323) 792-1451,https://mikediamondservices.com/services/?utm_source=google&utm_medium=organic&utm_campaign=gmb-losangeles,4.6,156,34.1053858,-118.3301008
American Residential Services LLC,Corporate office,"965 Ridge Lake Blvd # 201, Memphis, TN 38120",Memphis,Tennessee,38120,(901) 271-9700,https://www.ars.com/?utm_source=SIQ&utm_medium=Listings&utm_campaign=Google,3.6,142,35.1045516,-89.8681771
24/7 Rooter Service🔧,Plumber,"211 La Fayette Park Pl #101, Los Angeles, CA 90057",Los Angeles,California,90057,(213) 281-4751,https://www.247rooterservice.com/,5,130,34.069287,-118.2799065
Papa's Plumbing Inc.,Plumber,"3235 N San Fernando Rd #7B, Los Angeles, CA 90065",Los Angeles,California,90065,(626) 243-3689,https://www.papatheplumber.com/?utm_source=gmb&utm_medium=referral,4.8,118,34.1173905,-118.2474087
Houston Plumbing Expert,Plumber,"7676 Hillmont St Suite 344 - 19, Houston, TX 77040",Houston,Texas,77040,(713) 524-7400,https://www.houstonplumbingexpert.com/,4.9,116,29.8442674,-95.5041654
J. R.'s Plumbing,Plumber,"1039 Fresno St, San Antonio, TX 78201",San Antonio,Texas,78201,(210) 731-8433,https://www.jrsplumbing.net/,4.4,107,29.4745967,-98.5111326
Affordable Plumbing Services Houston,Plumber,"12329 Ashcroft Dr, Houston, TX 77035",Houston,Texas,77035,(832) 621-4939,https://houston-plumbingservices.com/,4.8,107,29.6428726,-95.4918225
Nick's Plumbing & Heating,Plumber,,,,,(618) 382-8610,,2.7,67,39.7393894,-88.148807
Ozark Plumbing,Plumber,"10210 Prescott Rd, Houston, MO 65483",Houston,Missouri,65483,(417) 217-6476,,5,66,37.4200608,-91.9316047
"Acacias Plumbing | Emergency Plumber, Drain Cleaning, Sewer Repair and Water Heater Installation Houston, TX",Plumber,"1430 Yale St Suite No. 12, Houston, TX 77008",Houston,Texas,77008,(832) 281-5575,https://www.acaciasplumbing.com/?utm_source=google&utm_medium=search_engine&utm_campaign=gmb,4.8,62,29.7973597,-95.3988159
Luca & Sons Plumbing,Plumber,"2216 W Houston St #3900, Broken Arrow, OK 74012",Broken Arrow,Oklahoma,74012,(539) 245-5496,,4.8,62,36.0468197,-95.8166853
Velvet Plumbing,Plumber,"951 S Olive St, Los Angeles, CA 90015",Los Angeles,California,90015,(323) 746-8035,https://velvetplumbing.com/Los-Angeles,4.9,52,34.0434108,-118.2593414
Team Plumbing West Los Angeles,Plumber,"1922 Kelton Ave, Los Angeles, CA 90025",Los Angeles,California,90025,(323) 617-5197,http://plumbing-losangeles-ca.com/,5,49,34.0466643,-118.4365265
E L Smith Plumbing,Plumber,"2013 West Ave, San Antonio, TX 78201",San Antonio,Texas,78201,(210) 736-1603,http://www.elsmith.com/,4.4,47,29.4798632,-98.5262735
Jacob & Sons Plumbers,Plumber,"5826 W Olympic Blvd, Los Angeles, CA 90036",Los Angeles,California,90036,(424) 465-2332,,4.6,43,34.0571964,-118.3571418
Los Angeles Plumbing Pros,Plumber,"1901 E Gage Ave, Los Angeles, CA 90001",Los Angeles,California,90001,(310) 861-9785,,5,42,33.9823077,-118.2389063
All-City Plumbing,Plumber,"1213 Basse Road Suite. 1, San Antonio, TX 78212",,,,(210) 734-7444,,4.9,41,29.488409,-98.503263
Rescue Plumbing,Plumber,,,,,(478) 787-7233,http://rescueplumb.com/,4.9,36,32.67853,-83.1940624
Du-West Total Plumbing,Plumber,"2420 Glenda Ln, Dallas, TX 75229",Dallas,Texas,75229,(972) 406-0912,https://www.du-west.com/plumbing,4.6,34,32.8893806,-96.8966318
Roter Clean Sewer Services,Plumber,"1209 6th Ave NW, Miami, OK 74354",Miami,Oklahoma,74354,(918) 542-4805,,3.7,30,36.8815966,-94.8913848
Expert Plumbing Solutions LLC,Plumber,,,,,(478) 407-4014,,4.4,25,33.389632,-84.053311
Apex Plumbing & Drain,Plumber,"121 N Maple St, Commerce, OK 74339",Commerce,Oklahoma,74339,(918) 675-4757,,3.1,23,36.934658,-94.872203
Ross Plumbing,Plumber,"301 S Vine St, Commerce, OK 74339",Commerce,Oklahoma,74339,(918) 675-4354,,3.6,18,36.931157,-94.8762117
Ryno Drain & Plumbing,Plumber,"11501 S 510 Rd, Miami, OK 74354",Miami,Oklahoma,74354,,,4.8,17,36.8521689,-94.9655907
Premier Plumbing LA 24/7,Plumber,"1313 S Gramercy Pl, Los Angeles, CA 90019",Los Angeles,California,90019,(424) 313-7999,,4.9,13,34.0466772,-118.3132846
Top LA Plumbers,Plumber,,,,,(310) 467-7411,,5,12,33.786671,-118.2990476
Mr. Plumber Macon and Warner Robins,Plumber,,,,,(478) 284-1097,,4.3,12,32.7426085,-83.714582
Owen Plumbing Inc.,Plumber,,,,,(478) 444-3622,https://www.owenplumbingservice.com/,4.2,9,32.2948999,-83.8112855
Right Connection Plumbing,Plumber,"1739 W Hildebrand Ave, San Antonio, TX 78201",San Antonio,Texas,78201,(210) 736-5325,,4.5,8,29.4666417,-98.5241411
Water Works Plumbing & Irrigation,Lawn sprinkler system contractor,"1418 West Ave, San Antonio, TX 78201",San Antonio,Texas,78201,(210) 737-6463,,4.2,6,29.4751207,-98.5257663
B & R Plumbing & Electric,Plumber,"210 S Main St, Commerce, OK 74339",Commerce,Oklahoma,74339,(918) 675-5300,,4.3,6,36.9323534,-94.8775493
H & H Plumbing,Plumber,"10693 County Road 470, Jay, OK 74346",Jay,Oklahoma,74346,(918) 253-3062,,3.6,5,36.409,-94.8229
Premium Plumbing,Plumber,"20 S Elm St, Miami, OK 74354",Miami,Oklahoma,74354,(918) 542-5095,,5,4,36.8737789,-94.8603207
EAP CONSULTANT,Consultant,"11111 Tupper Lake Dr, Houston, TX 77042",Houston,Texas,77042,(713) 977-6270,https://www.eapconsultant.com/contact.html,5,3,32.9742843,-96.8905464
Sam Houston Plumbing,Contractor,"330 E Franklin St, Hillsboro, TX 76645",Hillsboro,Texas,76645,(254) 582-0330,,5,3,32.0114677,-97.1234795
